Course Section	Course Subject	Course Number	Section Number	Section Status	Enrolled/Capacity	All Instructors	Units	Meeting Patterns	Locations	Course Tags	Instructional Format	Delivery Mode	Start Date	End Date	Academic Period	Overlapping Course(s)
ARTH 11H-1 - Cultures and Ideas I - Honors (China on the Silk Roads)	Art History	11H	1	Closed	15/0	Heather Clydesdale	4	T Th | 3:50 PM - 5:30 PM	Rm 208 Edward M. Dowd Art & Art History	Core Foundations :: Cultures and Ideas 1  Pathways :: Human Rights in a Global World  Pathways :: Justice and the Arts	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ARTH 70-1 - Oceania: Arts and Culture	Art History	70	1	Open	19/35	Margaret Wander	4	M W F | 11:45 AM - 12:50 PM	Rm 208 Edward M. Dowd Art & Art History		Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ARTH 83-1 - Dance of the Gods: Art in South Asia	Art History	83	1	Open	22/35	Shriya Sridharan	4	T Th | 12:10 PM - 1:50 PM	Rm 208 Edward M. Dowd Art & Art History	Core Explorations :: Religion, Theology and Culture 2	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ARTH 120-1 - Keeping up with the Medici: Fame and Family in Renaissance Florence (-)	Art History	120	1	Closed	17/0	Blake DeMaria	5	M W F | 9:15 AM - 10:20 AM	Rm 208 Edward M. Dowd Art & Art History	Core Integrations :: Advanced Writing  Pathways :: Paradigm Shifts and the Nature of Human Knowing	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	ARTH 120-/HIST 125-1
ARTH 143-1 - Women's Work: American Women in the Visual Arts (-)	Art History	143	1	Open	16/25	Andrea Pappas	5	T Th | 2:00 PM - 3:40 PM	Rm 208 Edward M. Dowd Art & Art History	Core Explorations :: Diversity: US Perspectives  Pathways :: American Studies  Pathways :: Beauty  Pathways :: Gender, Sexuality and the Body  Pathways :: Human Rights in a Global World  Pathways :: Justice and the Arts	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	ARTH 143-/WGST 156-1
ARTH 185-1 - Post-Modern and Contemporary Art	Art History	185	1	Closed	25/25	Ciara Ennis	5	M W | 3:30 PM - 5:15 PM	Rm 208 Edward M. Dowd Art & Art History	Core Explorations :: Diversity: US Perspectives  Pathways :: Beauty	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ARTH 199-1 - Directed Reading/ Directed Research - Pre-Modern Reading/Writing Mat (-)	Art History	199	1	Closed	1/1	Andrea Pappas	5				Independent Study	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ARTS 30-1 - Basic Drawing (-)	Studio Art	30	1	Closed	24/23	Shane Eastburn | Jess Eastburn	4	M W | 1:00 PM - 3:20 PM	Rm 314 Edward M. Dowd Art & Art History	Core Explorations :: Arts  Pathways :: Beauty	Studio	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ARTS 30-2 - Basic Drawing (-)	Studio Art	30	2	Open	22/23	Shane Eastburn | Jess Eastburn	4	T Th | 2:00 PM - 4:20 PM	Rm 314 Edward M. Dowd Art & Art History	Core Explorations :: Arts  Pathways :: Beauty	Studio	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ARTS 32-1 - Two-Dimensional Design	Studio Art	32	1	Open	20/23	Shane Eastburn | Jess Eastburn	4	T Th | 8:30 AM - 10:50 AM	Rm 314 Edward M. Dowd Art & Art History	Core Explorations :: Arts  Pathways :: Beauty  Pathways :: Design Thinking	Studio	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
